label,PostContent
0,አንተ ማፈሪያ የከሀዲ ልጅ አሁንም ታወራለህ የባንዳ ልጅ ባንዳ ነው ሁሌ ባንዳ መሆን አይደብራችሁም ግን
0,አንተን ባንዳ ካለህ ዘንዳ እሱን ምን እንበለው ወራዳ ምላሱን ነበር
0,ኸረ አንተ ልጅ ቆላህ
0,ሌባ የት አባህ ነበርክ እድሜ ላብይ የናፈቀህን አገር አሳየህ ቀዳዳ
0,በይፋ ልመና ጀመርክ ፎጣ ዘርጋ
0,አሁንስ ሄኖክ አበዛኸውጎጠኛ
0,እሱስ የወንድ ብልት አልቆረጠም ምነው ባዶ ጭንቂው ላይ አላረግም
0,ተዴ እንደተ አይነት ወላ ቀር ደቆሮች ወረኞች ስራ ስሩ ሰርተን እንለወጥ ወሬ ሀብት አይሆን እራስን መሆን ብልህነት ነው ከሚለው አንጻር ደደደደደደደደ ብብብብብብብብ ናቹ
0,ያንን ሊጥ እንኳን ጭፍን የፈለግሽውን በይው ልደቱ ክደቱ ወዳንቺም ተጋብቶ ደጋፊ ኖሮት አያውቅም አልሽ እኮ የተሞተው ደዴሳ ለአዞ የተጣለው የተጣለው የ አዲስ አበባ ወጣት እና ህዝብስ ይሄ የሊበን እና የዘሙን የጅል ተረትሽን እዛው
0,አስገዳዩ አብይ ገዳዩ ያዘዘ ጀነራል አደም ገዳይ ተብየው ተራ ወታደር ይህ ሀቅ ይታወቃል ለሁሉም ቀን ይጠብቅ አሁን ያሉ የቀድሞ የፌደራል የትግራይ ተወላጅ ሰራዊቶች አለመንቃታቸው እና ወደ ትግራይ አለመመለሳቸው ግን ይሰማኛል
0,ውሀ ቢወቅጡት እምቦጭ ነው ያንተ ነገር
0,ፈይሳ አዱኛ ይማርህ አተ ውሸታም
0,ከአንተ እጅ የማይገባ ነገር የለ ቀዳዳ
0,ጀበሉ መስኪድ ሚያቃጥለው በውስጡ ቁርአን እንዳለ ረስቶ ይሁን አየህ ስትቀደድ ለማወቅ በዚህች ደረጃ ብቻ ማስተዋል በቂ ነው ከጀበሉ ራስ ወረድ በሉልን
0,ደደቢት የተጻፈ ነው
0,አሀ የተቃጠለው መስጂድና የአላህ ቁርአን ላንተ ምንም አይደለምነገር ግን ሙስሊሙ ማህበረሰብ እየደረሰበት ያለውን ግፍና በደል ያውም ሰላማዊ በሆነ ሰልፍ እንዳይገልጽ የሚደረገው ርብርብ ምነው እሳቱን ለማጥፋት ይህን ያህል ብትጥርለማንኛውም የሙስሊሙን ያህል የሚያንገበግባቸው የወሎ ቄሶችና ክርስቲያን ወንድሞች ስላሉ ይህ ምላሽ ላንተና ለመሰሎችህ መሀይማን ብቻ ነው
0,አለቅልቅ አንተ
0,ለሚገባው ሰው ቢጻፍ መልካም ነበር ይህም አይገባውም ብየ ነው
0,አይ መስከረም አበራ እያደሩ ማነስ
0,ክሽፈት እንደዳንኤል ብርሀኔ
0,ሬሳ ናቸው በተለይ ኤርሚያስ ከሰው በታች ከእንሰሳ በላይ ነው
0,በአንተ ስብከት እንኳን የአንድ አገር ህዝቦች ይቅርና አገረባች አገሮች መሆን ራሱ በሽታ ነውመጽሀፍ እንጅ ማንባብ አትችልም ሀሳት ተበልክ በቃ
0,አንችን ብሎ በአማራ ዘውግ ውሰጥ ተዘፍቀሽ አይደለም እንደ ግን መብትሸ ነው ግን ደግሞ አታጨበርብሪ
0,እፏፏፏ እር እስከ መቸ ክልሉ እኮ መግስት አልባ ነው ህዝብ እጂ አመራር የለውም ቢኖር ኑሮ የታገቱትን እህቶቻችንን ያስለቅቅ ነበር አሁን ምን ይሉታል ንጹሀንን መግደል
