label,PostContent
0,ትላንት የካቶሊኩ ጳጳስ ፍራንሲስ ለግብረ ሰዶማውያን የገለጹት የይፋ ድጋፍ አስመልክቶ የሃገራችንን ክርስቲያኖች አስተያየት ጠይቄ ለመናገር ሃሳቡን እንድረዱትና መረጃ እንድሆናቸው ከማሰብ አንፃር የሃገራችን ክርስቲያኖች ልዩነታችንም ቆሻሻ ተግባር አመለካከት ሳላውቅ ቀርቸ የሃገሬን ክርስቲያኖች ተግባሩን ከመቃወም አንፃር ፈጽሞ አልጠራጠራቸውም
0,ሰበር ብርጋደን ጀነራል ጸጋየ ማርክስ ይባላል የቀድሞ ክፍለጦር አዛዥ የማእከላዊ ምክትል አዛዥ የጀኔራል አበባው ታደሰ ምክትል ጸጋየ የመራው የትግራይ ሃይል በኢትዮጵያ መከላክያ ሰራዊት ተደምስሶ ጸጋየ ህይወቱ ማለፉ ተረጋግጧል ፈጣን ወቅታዊ ታማኝ ሃገርኛ አለማቀፍ ዜናወች የቴሌግራም ቻናላችንን ሊንክ ይቀላቀሉ
0,የምወዳት የ አመት ፍቅረኛየ መቀሌ ሂዳ ህወሃትን እንደመረጠችና ለህወሃት የምርጫ ቅስቀሳ እንዳደረገች ሰማሁ ምን ላድርጋትቂጧን ብየ ላባራት ወይስ በሰላም ልለያትይህን በማድረጓ ልቤ ተሰብሯል
0,ጽንፈኛው ቡድን ደምስሸዋለሁ የሃሰት ያሰራጨበት ክፍለጦር በጀግንነት በከፍተኛ እንደቀጠለ ጽንፈኛው ቡድን ደምስሸዋለሁ የሃሰት ያሰራጨበት ክፍለጦር በጀግንነት በከፍተኛ እየገሰገሰ የክፍል ጦሩየኦፕሬሽን ምክትል አዛዥ ኮሎኔል መንግስቱ በራያ ግምባር ህግን የማስከበር ተልእኮ የተሰጠው ክፍለጦሩ ቀደም ጁንታው ተዘጋጅቶ ምሽግ ገንብቶ የነበረበትን ወሳኝ ቦታወች እያስለቀቀ የገጠመውን ሰራዊትም እየደመሰሰ እየተጓዘ በራያ ግንባር ክፍለጦር የኦፕሬሽን ምክትል አዛዥ ኮሎኔል መንግስቱ ለጋዜጠኞች በሰጡት መግለጫ ክፍለጦሩ ከሃድው ቡድን በሰሜን በፈጸመው ጥቃት በከፍተኛ የልብ ስብራት ወጡን ቡድን በጋለ ወኔና ቁጭት እየደመሰሰው ሃሰት የሁል ተግባሩ የህወሃት ጽንፈኛ ቡድን ደምሽሸዋለሁ ክፍለጦር በየጦር አውዱ እየተቀዳጀ ቡድኑን አይቀጡ ቅጣት እየቀጣ ይገኛልም ክፍለጦርን ከባድ ጥቃት መቋቋም ያቃተው የከሃድው ቡድን ሰራዊትም በአብዛኛው እየተማረከ ጥቂቱም እየፈረጠጠ እየተነሳ ክፍለጦሩ እልህ አስጨራሽ ውጊያም የጁንታውን ኮንክሪት ምሽግ አመድ አድርጓልም የአየር መቃወሚያውንም ከጥቅም ከማድረጉም ባለፈ ብረትለበስ ምሽጎችና የመሳርያ ማከማቻወቻቸውን ማጥቃት መቻሉን
0,ዳንኤል ብርሃኔን ሚድያወችን በመጠቀም አገር አፍራሽ መረጃ በሚያሰራጩ ግለሰቦች ወታደራዊ ሹማምንት የመያዣ ትእዘዝ ዳንኤል ብርሃኔን ሚድያወችን በመጠቀም አገር አፍራሽ መረጃ በሚያሰራጩ ግለሰቦች ወታደራዊ ሹማምንት የመያዣ ትእዘዝ መውጣቱን ፌደራል ፖሊስ የአገር ክህደት ወንጀል በፈጸሙና እርከን በሚገኙ ወታደራዊ ሹማምንት በፈጸሙት የዘረፋ ወንጀል ንብረታቸው የሚፈለግ የጁንታው ህወሃት ቡድን አባላት ዳንኤል ብርሃኔ ዶክተር እዝቅኤል ገቢሳ ዶክተር አወል ቃሲም ሌሎች አምስት ግለሰቦች በአሃገር ውስጥና ባህር ሚድያወችን በመጠቀም አገር አፍራሽ መረጃ በሚያሰራጩ ግለሰቦች የመያዣ ትእዘዝ መውጣቱን ፌደራል ፖሊስ በመግለጫው መሰረት ቀደም በፈጸሙት የአገር ክህደት ወንጀል የመያዣ ከወጣባቸው ጀኔራል መኮንኖች መኮንኖችና የበታች ሹማምንቶች ስማቸው ቀጥሎ የተገለጸው በተለያየ እርከን ወታደራዊ ሹማምንት የመያዣ እንድወጣ ለመከላከያ ሰራዊታችን ሰናይት መብራህቱ ህዝቅኤል ጋቢሳም ከሰባቱ ዝርዝር ተካቷል
0,የመጅሊሱ መሪ ሙፍቲ ተብየው ከአድስ አበባ ክፍለ ሃገር ወሎ ከላላ ደገር ዶሪህ ሊሳለም ከሄደ ቀን ሁኖታል ኪሎ ሜትር ገረገገንቲ መንገድ በመጅሊሱ መኪና ሽር ብሎ ሄዶ የሸህየን ዶሪህ እየተሳለመ ይገኛል
0,ቆምጨ አህያ አማራ በበዛበት የትግራዋይ ልጆች አንሂድ በሄድንበት አማራወች ይገማሉ እፍ እፍ ደግሞ ምን ምን እንደሚሸቱ
0,መረጃ ከፋኖ የአማራ ሃይል አባላት ሊታገቱ መረጃ እየወጣ የአማራ ይደምሰስ የአማራ ሃይል ይበተን ህዝቡን ባርያ አድርገን እንግዛው የአማራ ሃይል ለራስህም ለወገንህም ስትል ከፋኖ ቆመህ መክት አከተመ
0,ወላይታወች ወላሞ በሉን አህያም በሉን ከብትም በሉን ሲዳማ የሚያመልከው ጣኦት ከማመልክ ሰውን እንደእባብ ከምገል ሰው ባልሆን ይሻለኛል
0,የጠቅላይ ሚንስትሩን ጉብኝት በመተከል ቡለን ወረዳ በኩጅ የታረደ የሚደርሱ ቤቶች መቃጠላቸው ተሰምቷል ጭፍጨፋው ስላልቆመ ቁጥሩ እንደሚል ይገመታል ጭፍጨፋው የተጀመረው ከሌሊቱ ሰአት አካባቢ እስከአሁን ለተጠቂወቹ የደረሰ የመንግስት አካል አለመኖሩ ታውቋል
